09.07.2019 15:54:24.085,End X[m],End Y[m],End Z[m],q1[rad],q2[rad],q3[rad]
09.07.2019 15:54:25.858,-0.0208702,0.251164,-0.0726237,0.0829031,-0.161617,2.08514
09.07.2019 15:54:25.972,-0.00275258,0.254363,-0.05249,0.010821,-0.0143117,2.08986
09.07.2019 15:54:26.079,-0.00114923,0.253252,-0.0330771,0.00453786,0.129852,2.08986
09.07.2019 15:54:26.188,-0.00113782,0.250737,-0.0185286,0.00453786,0.238761,2.09125
09.07.2019 15:54:26.297,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:26.406,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:26.517,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:26.628,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:26.734,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:26.844,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:26.953,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:27.066,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:27.169,-0.000786465,0.250339,-0.0169285,0.00314159,0.250978,2.09125
09.07.2019 15:54:27.285,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:27.389,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:27.504,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:27.607,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:27.718,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:27.829,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:27.936,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.048,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.160,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.267,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.373,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.480,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.595,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.699,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.815,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:28.920,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:29.031,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:29.138,-0.000786299,0.250286,-0.0167232,0.00314159,0.252549,2.09125
09.07.2019 15:54:29.254,-0.0103666,0.250473,-0.0164929,0.0413643,0.252549,2.0944
09.07.2019 15:54:29.362,-0.0436524,0.247061,-0.0163773,0.174882,0.252549,2.09597
09.07.2019 15:54:29.472,-0.0750414,0.239457,-0.0165826,0.303687,0.250978,2.09597
09.07.2019 15:54:29.579,-0.105218,0.227816,-0.0165826,0.432667,0.250978,2.09597
09.07.2019 15:54:29.687,-0.131638,0.213641,-0.0165826,0.552222,0.250978,2.09597
09.07.2019 15:54:29.801,-0.155596,0.196878,-0.0165826,0.66881,0.250978,2.09597
09.07.2019 15:54:29.906,-0.170499,0.184122,-0.0165826,0.747001,0.250978,2.09597
09.07.2019 15:54:30.021,-0.173307,0.181482,-0.0165826,0.76236,0.250978,2.09597
09.07.2019 15:54:30.124,-0.173592,0.18121,-0.0165826,0.763931,0.250978,2.09597
09.07.2019 15:54:30.236,-0.178065,0.185879,-0.0059712,0.763931,0.294088,2.16037
09.07.2019 15:54:30.350,-0.184014,0.191486,0.0219317,0.765501,0.427431,2.28464
09.07.2019 15:54:30.458,-0.185375,0.192903,0.0455297,0.765501,0.548732,2.37504
09.07.2019 15:54:30.567,-0.181276,0.188637,0.0614121,0.765501,0.663749,2.40419
09.07.2019 15:54:30.673,-0.176284,0.183442,0.0708946,0.765501,0.75119,2.4089
09.07.2019 15:54:30.787,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
09.07.2019 15:54:30.896,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
09.07.2019 15:54:30.999,-0.168942,0.186383,0.0738648,0.736354,0.781733,2.4089
09.07.2019 15:54:31.109,-0.142302,0.207438,0.0738648,0.601266,0.781733,2.4089
09.07.2019 15:54:31.221,-0.111024,0.225729,0.0738648,0.457102,0.781733,2.4089
09.07.2019 15:54:31.329,-0.0752253,-0.240044,0.0738648,2.83791,0.781733,2.4089
09.07.2019 15:54:31.438,-0.0460581,0.247303,0.0738648,0.184132,0.781733,2.4089
09.07.2019 15:54:31.551,-0.011192,0.251306,0.0738648,0.0445059,0.781733,2.4089
09.07.2019 15:54:31.658,0.0219682,0.250594,0.0738648,-0.087441,0.781733,2.4089
09.07.2019 15:54:31.764,0.0543608,0.245611,0.0738648,-0.217817,0.781733,2.4089
09.07.2019 15:54:31.876,0.0865731,0.236189,0.0738648,-0.351335,0.781733,2.4089
09.07.2019 15:54:31.984,0.115493,0.223476,0.0738648,-0.476998,0.781733,2.4089
09.07.2019 15:54:32.092,0.141032,0.208303,0.0738648,-0.595157,0.781733,2.4089
09.07.2019 15:54:32.207,0.162837,0.19174,0.0738648,-0.704066,0.781733,2.4089
