17.410,End X[m],End Y[m],End Z[m],q1[rad],q2[rad],q3[rad]
33.723,-0.100013,0.240384,-0.0876735,0.39427,-0.350288,2.20487
33.828,-0.0646422,0.245181,-0.0782355,0.257785,-0.21677,2.10818
33.941,-0.0273063,0.253419,-0.058869,0.107338,-0.0649262,2.09597
34.048,-0.00390965,0.254533,-0.0397512,0.0153589,0.0776672,2.0944
34.158,-0.00114128,0.251501,-0.0208227,0.00453786,0.220435,2.09282
34.269,-0.00113712,0.250584,-0.0169962,0.00453786,0.249582,2.09282
34.380,-0.001136,0.250338,-0.0169285,0.00453786,0.250978,2.09125
34.487,-0.001136,0.250338,-0.0169285,0.00453786,0.250978,2.09125
34.591,-0.001136,0.250338,-0.0169285,0.00453786,0.250978,2.09125
34.707,-0.001136,0.250338,-0.0169285,0.00453786,0.250978,2.09125
34.814,-0.001136,0.250338,-0.0169285,0.00453786,0.250978,2.09125
34.925,-0.00962538,0.250556,-0.0166982,0.0383972,0.250978,2.0944
35.035,-0.0436616,0.247113,-0.0165826,0.174882,0.250978,2.09597
35.139,-0.0746652,0.239575,-0.0165826,0.302116,0.250978,2.09597
35.252,-0.105536,0.227669,-0.0165826,0.434063,0.250978,2.09597
35.359,-0.131974,0.213434,-0.0165826,0.553793,0.250978,2.09597
35.474,-0.155596,0.196878,-0.0165826,0.66881,0.250978,2.09597
35.577,-0.170499,0.184122,-0.0165826,0.747001,0.250978,2.09597
35.690,-0.173307,0.181482,-0.0165826,0.76236,0.250978,2.09597
35.795,-0.173592,0.18121,-0.0165826,0.763931,0.250978,2.09597
35.907,-0.177932,0.185741,-0.00609943,0.763931,0.294088,2.1588
36.017,-0.183826,0.19129,0.0209213,0.765501,0.422893,2.27992
36.129,-0.185375,0.192903,0.0455297,0.765501,0.548732,2.37504
36.236,-0.181361,0.188726,0.0609258,0.765501,0.660607,2.40279
36.350,-0.175987,0.183133,0.0710154,0.765501,0.754157,2.40733
36.459,-0.174601,0.181691,0.0734291,0.765501,0.777195,2.4089
36.566,-0.174302,0.18138,0.0738648,0.765501,0.781733,2.4089
36.671,-0.168649,0.186648,0.0738648,0.734784,0.781733,2.4089
36.779,-0.142302,0.207438,0.0738648,0.601266,0.781733,2.4089
36.893,-0.110669,0.225904,0.0738648,0.455531,0.781733,2.4089
37.000,-0.0796531,0.238611,0.0738648,0.322188,0.781733,2.4089
37.109,-0.0464034,0.247238,0.0738648,0.185528,0.781733,2.4089
37.220,-0.0115867,0.251288,0.0738648,0.0460767,0.781733,2.4089
37.327,0.0219682,0.250594,0.0738648,-0.087441,0.781733,2.4089
37.441,0.0566304,0.245098,0.0738648,-0.227067,0.781733,2.4089
37.551,0.087644,0.235794,0.0738648,-0.355873,0.781733,2.4089
37.659,0.116545,0.222929,0.0738648,-0.481711,0.781733,2.4089
37.767,0.142012,0.207636,0.0738648,-0.59987,0.781733,2.4089
37.876,0.162536,0.191995,0.0738648,-0.702495,0.781733,2.4089
37.983,0.171785,0.183766,0.0738648,-0.751713,0.781733,2.4089
38.099,0.173732,0.181927,0.0738648,-0.76236,0.781733,2.4089
38.208,0.172531,0.180102,0.0623821,-0.763931,0.73426,2.3445
38.313,0.17105,0.178556,0.0375251,-0.763931,0.605455,2.22791
38.422,0.16953,0.176414,0.0152951,-0.765501,0.481187,2.13436
38.536,0.171646,0.178616,-0.00137884,-0.765501,0.363028,2.10661
38.640,0.173734,0.180789,-0.0125145,-0.765501,0.278729,2.10207
38.752,0.174095,0.181164,-0.0152436,-0.765501,0.258658,2.1005
38.860,0.169004,0.185863,-0.0159527,-0.737925,0.25412,2.09893
38.973,0.141195,0.207841,-0.016158,-0.596728,0.252549,2.09893
39.081,0.110486,0.225531,-0.0164667,-0.455531,0.250978,2.09754
39.187,0.0783982,0.23859,-0.0164667,-0.317475,0.250978,2.09754
39.298,0.0444731,0.247171,-0.0164667,-0.178024,0.250978,2.09754
39.407,0.0100349,0.250939,-0.0164667,-0.039968,0.250978,2.09754
39.517,-0.023067,0.250078,-0.0164667,0.0919789,0.250978,2.09754
39.626,-0.0561525,0.244782,-0.0164667,0.225497,0.250978,2.09754
39.738,-0.0889357,0.234865,-0.0164667,0.361981,0.250978,2.09754
39.846,-0.116702,0.222378,-0.0164667,0.483282,0.250978,2.09754
39.958,-0.143041,0.206423,-0.0164667,0.605978,0.250978,2.09754
40.065,-0.163469,0.190655,-0.0164667,0.708778,0.250978,2.09754
40.170,-0.171757,0.183223,-0.0164667,0.75311,0.250978,2.09754
40.287,-0.173445,0.181627,-0.0164667,0.76236,0.250978,2.09754
40.396,-0.178017,0.185829,-0.00650553,0.763931,0.290946,2.1588
